Study Location,Municipality
Bruce/Grey,Chatsworth
Bruce/Grey,Georgian Bluffs
Bruce/Grey,Grey Highlands
Bruce/Grey,Hanover
Bruce/Grey,Kincardine
Bruce/Grey,Meaford
Bruce/Grey,Owen Sound
Bruce/Grey,Saugeen Shores
Bruce/Grey,South Bruce Peninsula
Bruce/Grey,Southgate
Bruce/Grey,The Blue Mountains
Bruce/Grey,West Grey
Bruce/Grey,Bruce County
Bruce/Grey,Grey County
Eastern,Belleville
Eastern,Brockville
Eastern,Cornwall
Eastern,Kingston
Eastern,Ottawa
Eastern,Peterborough
Eastern,Prince Edward County
Eastern,Quinte West
GTHA,Ajax
GTHA,Aurora
GTHA,Brampton
GTHA,Brock
GTHA,Burlington
GTHA,Caledon
GTHA,Clarington
GTHA,East Gwillimbury
GTHA,Georgina
GTHA,Halton Hills
GTHA,Hamilton
GTHA,King
GTHA,Markham
GTHA,Milton
GTHA,Mississauga
GTHA,Newmarket
GTHA,Oakville
GTHA,Oshawa
GTHA,Pickering
GTHA,Scugog
GTHA,Toronto
GTHA,Vaughan
GTHA,Whitby
GTHA,Whitchurch - Stouffville
GTHA,Region Durham
GTHA,Region Halton
GTHA,Region Peel
GTHA,Region York
Niagara,Fort Erie
Niagara,Grimsby
Niagara,Lincoln
Niagara,Niagara Falls
Niagara,Niagara-on-the-Lake
Niagara,Pelham
Niagara,Port Colborne
Niagara,St. Catharines
Niagara,Thorold
Niagara,Wainfleet
Niagara,Welland
Niagara,West Lincoln
Niagara,Region Niagara
North,Dryden
North,Elliot Lake
North,Espanola
North,Greater Sudbury
North,Kenora
North,North Bay
North,Parry Sound
North,Sault Ste. Marie
North,Thunder Bay
North,Timmins
Simcoe/Musk./Duff.,Barrie
Simcoe/Musk./Duff.,Bracebridge
Simcoe/Musk./Duff.,Collingwood
Simcoe/Musk./Duff.,Gravenhurst
Simcoe/Musk./Duff.,Huntsville
Simcoe/Musk./Duff.,Innisfil
Simcoe/Musk./Duff.,New Tecumseth
Simcoe/Musk./Duff.,Orangeville
Simcoe/Musk./Duff.,Orillia
Simcoe/Musk./Duff.,Springwater
Simcoe/Musk./Duff.,Tay
Simcoe/Musk./Duff.,Tiny
Simcoe/Musk./Duff.,District Muskoka
Simcoe/Musk./Duff.,Simcoe County
Simcoe/Musk./Duff.,Dufferin County
Southwest,Aylmer
Southwest,Brant County
Southwest,Brantford
Southwest,Central Elgin
Southwest,Chatham-Kent
Southwest,Essex
Southwest,Haldimand
Southwest,Ingersoll
Southwest,Lakeshore
Southwest,Lambton Shores
Southwest,London
Southwest,Middlesex Centre
Southwest,Norfolk
Southwest,North Middlesex
Southwest,North Perth
Southwest,Sarnia
Southwest,St. Thomas
Southwest,Stratford
Southwest,Strathroy-Caradoc
Southwest,Tillsonburg
Southwest,Windsor
Southwest,Region Waterloo
Southwest,Wellington County
Southwest,Elgin County
Southwest,Essex County
Southwest,Middlesex County
Waterloo/Wellington,Cambridge
Waterloo/Wellington,Centre Wellington
Waterloo/Wellington,Erin
Waterloo/Wellington,Guelph
Waterloo/Wellington,Guelph-Eramosa
Waterloo/Wellington,Kitchener
Waterloo/Wellington,Mapleton
Waterloo/Wellington,Minto
Waterloo/Wellington,North Dumfries
Waterloo/Wellington,Puslinch
Waterloo/Wellington,Waterloo
Waterloo/Wellington,Wellesley
Waterloo/Wellington,Wellington North
Waterloo/Wellington,Wilmot
Waterloo/Wellington,Woolwich
