Tier,Municipality
Lower Tier,Ajax
Lower Tier,Aurora
Lower Tier,Aylmer
Lower Tier,Bracebridge
Lower Tier,Brampton
Lower Tier,Brock
Lower Tier,Burlington
Lower Tier,Caledon
Lower Tier,Cambridge
Lower Tier,Central Elgin
Lower Tier,Centre Wellington
Lower Tier,Chatsworth
Lower Tier,Clarington
Lower Tier,Collingwood
Lower Tier,East Gwillimbury
Lower Tier,Erin
Lower Tier,Essex
Lower Tier,Fort Erie
Lower Tier,Georgian Bluffs
Lower Tier,Georgina
Lower Tier,Gravenhurst
Lower Tier,Grey Highlands
Lower Tier,Grimsby
Lower Tier,Guelph-Eramosa
Lower Tier,Halton Hills
Lower Tier,Hanover
Lower Tier,Huntsville
Lower Tier,Ingersoll
Lower Tier,Innisfil
Lower Tier,Kincardine
Lower Tier,King
Lower Tier,Kitchener
Lower Tier,Lakeshore
Lower Tier,Lambton Shores
Lower Tier,Lincoln
Lower Tier,Mapleton
Lower Tier,Markham
Lower Tier,Meaford
Lower Tier,Middlesex Centre
Lower Tier,Milton
Lower Tier,Minto
Lower Tier,Mississauga
Lower Tier,New Tecumseth
Lower Tier,Newmarket
Lower Tier,Niagara Falls
Lower Tier,Niagara-on-the-Lake
Lower Tier,North Dumfries
Lower Tier,North Middlesex
Lower Tier,North Perth
Lower Tier,Oakville
Lower Tier,Orangeville
Lower Tier,Oshawa
Lower Tier,Owen Sound
Lower Tier,Pelham
Lower Tier,Pickering
Lower Tier,Port Colborne
Lower Tier,Puslinch
Lower Tier,Sarnia
Lower Tier,Saugeen Shores
Lower Tier,Scugog
Lower Tier,South Bruce Peninsula
Lower Tier,Southgate
Lower Tier,Springwater
Lower Tier,St. Catharines
Lower Tier,Strathroy-Caradoc
Lower Tier,Tay
Lower Tier,The Blue Mountains
Lower Tier,Thorold
Lower Tier,Tillsonburg
Lower Tier,Tiny
Lower Tier,Vaughan
Lower Tier,Wainfleet
Lower Tier,Waterloo
Lower Tier,Welland
Lower Tier,Wellesley
Lower Tier,Wellington North
Lower Tier,West Grey
Lower Tier,West Lincoln
Lower Tier,Whitby
Lower Tier,Whitchurch - Stouffville
Lower Tier,Wilmot
Lower Tier,Woolwich
Single Tier,Barrie
Single Tier,Belleville
Single Tier,Brant County
Single Tier,Brantford
Single Tier,Brockville
Single Tier,Chatham-Kent
Single Tier,Cornwall
Single Tier,Dryden
Single Tier,Elliot Lake
Single Tier,Espanola
Single Tier,Greater Sudbury
Single Tier,Guelph
Single Tier,Haldimand
Single Tier,Hamilton
Single Tier,Kenora
Single Tier,Kingston
Single Tier,London
Single Tier,Norfolk
Single Tier,North Bay
Single Tier,Orillia
Single Tier,Ottawa
Single Tier,Parry Sound
Single Tier,Peterborough
Single Tier,Prince Edward County
Single Tier,Quinte West
Single Tier,Sault Ste. Marie
Single Tier,St. Thomas
Single Tier,Stratford
Single Tier,Thunder Bay
Single Tier,Timmins
Single Tier,Toronto
Single Tier,Windsor
Upper Tier,Region Durham
Upper Tier,Region Halton
Upper Tier,Region Peel
Upper Tier,Region Niagara
Upper Tier,Region York
Upper Tier,Region Waterloo
Upper Tier,District Muskoka
Upper Tier,Bruce County
Upper Tier,Wellington County
Upper Tier,Simcoe County
Upper Tier,Elgin County
Upper Tier,Grey County
Upper Tier,Essex County
Upper Tier,Middlesex County
Upper Tier,Dufferin County
